duration,end_of_fade_in,key,key_confidence,loudness,mode,mode_confidence,start_of_fade_out,tempo,time_signature,time_signature_confidence,track_id,artist_id,artist_latitude,artist_location,artist_longitude,artist_name,release,song_id,title,year
153.36444,0.391,0,0.83,-14.874,1,0.62,148.643,114.805,4,0.738,TRBDWTJ128F9358452,ARZ1PTN1187B9967D9,33.46725,"Tioga Springs, TX",-96.91393,Gene Autry,The Singin' Cowboy - 20 Great Favourites,SOABFNB12AB0180FAA,Cool Water,0
494.10567,0.131,7,0.459,-14.009,1,0.526,482.94,123.182,4,0.369,TRATHPX128F9341B8A,AR9B5JX1187FB55D84,,,,Richard Hell & The Voidoids,Blank Generation,SOABFQI12A58A7D162,Another World (Album Version),1977
256.522,0,10,0.346,-3.91,0,0.422,245.609,107.845,4,1,TRABUMO12903CBE25F,ARSW5F51187FB4CFC9,,"Seattle, WA",,Alice In Chains,Black Gives Way To Blue,SOABLAF12AB018E1D9,Lesson Learned,2009
149.002,0.07,5,0.642,-11.658,0,0.449,144.55,84.818,4,0.226,TRBDQAX12903CFD642,AR6HEHH1187B9985F9,41.41013,"Scranton, PA",-75.66079,Russ Morgan,Russ Morgan At Catalina (Digitally Remastered),SOABNGV12AC960A047,Do You Ever Think Of Me,0
34.61179,0.2,8,0.285,-3.93,1,0.563,34.612,84.303,1,0,TRAJHKT128F427FDCD,ARZ78EG1187FB4638E,,,,Malefaction,Crush The Dream,SOABPYH12A8C13CC48,Beothuck,0
301.45261,7.036,9,0,-8.326,1,0.339,297.39,117.949,4,1,TRBCWPC128F42438DF,ARCEEC91187B9AC4FB,44.97903,"Minneapolis, MN",-93.26493,Alexander O'Neal,Alex Loves...,SOABRXK12A8C130A36,Saturday Love,2008
202.13506,0,5,0.333,-3.778,1,0.494,191.959,109.441,4,0.462,TRARMWA128F424147D,ARQATWU1187B98EE26,40.14323,Nueva Jersey (Estados Unidos),-74.72671,Ill Nino,Revolution Revolucion,SOABTKM12A8AE4721E,Nothing's Clear (Album Version),0
263.33995,0,8,0.287,-4.006,1,0.333,260.371,91.767,3,1,TRATYGE128F149D0B1,ARYKXSD1187B9A4DAD,,,,Hecklah & Coch,Über alles in der Welt / Ihr hated nur (Remix),SOABUIH12A6D4F8DB3,Ihr hated nur (P-Dog Remix),0
180.53179,0.189,8,0.118,-9.068,1,0.282,172.832,151.498,4,0,TRAYPXP12903CD8D45,ARZZRK91187B9A5CA5,18.01571,"Kingston, Jamaica",-76.79731,Delroy Wilson,Dub Plate Style,SOABVPU12AB018AA22,Conquer Me,2009
163.94404,0.142,5,0.62,-14.962,1,0.228,153.681,97.52,1,0.341,TRAVVSL128F92F607D,ARJUNZD1187B9A5DAE,34.07292,"BEVERLY HILLS, California",-118.39981,Herb Alpert And The Tijuana Brass,South Of The Border,SOABVWD12A58A7C3FF,Adios_ Mi Corazon,1964
592.56118,3.135,9,0.341,-22.28,0,0.522,573.666,246.593,4,0.866,TRAZFZS128F4272A31,ARSL3N21187B98DFC5,,,,Klaus Badelt,Premonition,SOABYBF12A8C138A09,Severe Severing,2007
245.62893,0.74,1,0.563,-10.551,1,0.536,233.883,133.318,4,0.528,TRADDPM12903CFED88,ARS8VY21187B990549,40.19316,"MUNCIE, Indiana",-85.38173,Ray Boltz & Steve Millikan,16 Great Christmas Classics Volume 3,SOACCCG12AC468C7BC,Perfect Tree,0
301.84444,0.16,8,0.115,-5.41,0,0.155,294.615,104.02,1,0.777,TRAXJSG128EF34EFE8,ARAXVPF1241B9C9684,,,,Kuldeep Paras,Barsat,SOACCLQ12A6D4F7F64,Ek Pegh,0
282.64444,0.334,4,0.539,-13.98,1,0.649,271.563,133.088,1,0,TRAUMZG128F934462A,ARVSB691187FB3C711,,CANADA - Ontario,,Hector,Hotelli Hannikainen,SOACDZP12AB0188A3C,Hannikaisen baari,0
236.79955,0.334,7,0.718,-9.444,1,0.634,229.581,87.461,1,0,TRAVZLU128F9305DD2,AR5ZI3K1187FB38BE0,42.31256,"Boston, MA",-71.08868,Jim Kweskin_ The Jug Band,See Reverse Side For The Title,SOACEBF12A8C141362,Viola Lee,0
232.25424,0.31,0,0.289,-10.185,1,0.394,221.756,97.995,4,0.919,TRASNOT128E0791785,ARP96FM1187B9AEA77,44.97903,"Minneapolis, MN",-93.26493,Semisonic,Feeling Strangely Fine,SOACEDS12A6701EAAA,Gone To The Movies,1998
413.23057,0.208,0,1,-7.56,1,0.875,410.703,126.089,4,0.875,TRAQNMM12903D00407,ARMUCXW11F50C4BFEC,,,,Bionikworld,Preset 001 / Reset 001,SOACEXG12AC468D8FB,Party Favours,0
238.21016,0.136,1,0.018,-6.892,0,0.366,214.384,92.344,5,0.851,TRBANCJ128F42812AE,ARBCUNV1187B98A9FB,,"East Flatbush, Brooklyn, NY",,Busta Rhymes feat. Linkin Park,We Made It,SOACFRH12A8C13E183,We Made It [Instrumental],0
173.68771,0.314,7,0,-7.113,1,0,170.91,92.606,4,1,TRABGWT128F9334E43,ARRVUWA1187B9A0FE2,21.51102,Cuba,-77.80679,Orquesta Aragón,10 De Colección,SOACHGQ12AB018590E,Ven Morena,2003
243.1473,0.125,6,0.492,-7.414,0,0.483,236.844,126.631,4,1,TRAHFAH12903CA7F20,AR4L5ZC1187FB450A4,,,,Bescenta,Genuine,SOACIFE12AB0187C9C,So In Love,0
243.25179,0.189,5,0.566,-6.585,0,0.639,220.996,155.757,3,1,TRBEOMZ12903CBCD33,ARDNBQU1187B9B6DC2,45.49441,Idaho,-114.14328,Kieran,You Saved My Life,SOACJHA12A58A7C346,You Saved My Life,0
181.08036,0.328,2,0.42,-13.939,1,0.373,173.685,72.177,1,0,TRBFLHH128F429FDEA,AR576O51187B990C30,31.90143,"Smithville, GA",-84.25274,Tampa Red,Tampa Red Vol. 15 1951-1953,SOACLMC12A8C13FA4C,Baby Please Don't,0
376.89424,0.096,4,0.552,-4.605,0,0.408,372.1,87.006,4,0.629,TRASCXA128F9323581,ARWMZYB1187FB480A7,4.65637,"Bogotá D. C., Colombia",-74.11779,Aftermath,Tides of Sorrow,SOACLVX12AB0185ADF,9:02,0
258.7424,0.136,7,0.735,-7.355,1,0.632,249.481,75.064,3,0.741,TRBIAVP12903CEDA19,ARSHZBZ1187B98A445,,,,Joe Bonamassa,Black Rock,SOACMGG12AB0189F0D,I Know A Place,2010
310.77832,0.386,8,0.358,-9.516,1,0.395,294.748,115.656,4,1,TRAXEQE128EF35CB1C,AREDTTS1187FB5357E,,,,Eric Champion,Save The World,SOACNEJ12A6D4F6AB6,Why Do We Do?,1993
33.67138,0.078,4,0,-14.431,1,0,33.671,61.618,4,0.731,TRBHYGY128F93264CD,ARLMCCW1241B9CE7CB,,,,Kurt Tepperwein,Charismatisches Selbstimage - Selbst-Management,SOACNLP12A81C230B1,Einleitung,0
126.04036,0,5,0.391,-5.01,1,0.304,126.04,126.136,1,0.065,TRAXMDO128F9342A54,ARW4P0V1187B9B182E,,,,Inhume,In for the kill,SOACNSF12AB0184B05,Process to decelerate,2003
242.28526,0.374,9,0.438,-13.459,0,0.521,222.778,120.059,3,1,TRAHUAW128F425BA0B,ARL1QL91187B994B08,,,,A Challenge Of Honour,Wilhelm Gustloff,SOACOTR12A8C13753B,Heiliges Feuer,0
458.91873,0.207,10,1,-11.688,1,0.818,449.457,130.974,1,0,TRAYBNB12903CE2D9D,ARXBM4N1187B98ECA5,21.34765,"Waimanalo, HI",-157.7197,Cyril Pahinui,Night Moon - Po Mahina,SOACQYL12AB018B92A,Mauna Loa (Vocal),0
205.50485,0.154,6,0.393,-16.619,0,0.546,202.838,94.48,4,1,TRATZQS128F1467D4B,ARYML1P1187B9AF39B,,Georgia,,Devo,Duty Now For The Future/New Traditionalists,SOACUIU12A6D4F715B,Going Under,1981
281.05098,0.067,1,0.542,-9.882,1,0.5,271.157,121.616,4,0.967,TRARJEK128F930B3AA,ART3O5Z1187B9AB043,32.77815,"Dallas, TX",-96.7954,Stevie Ray Vaughan And Double Trouble,3 CD Slipcase,SOACUYZ12CF54662F1,Couldn't Stand The Weather,1985
256.1824,0.078,0,1,-3.163,1,0.77,250.834,201.494,4,0.819,TRBBTQB128F92FAB03,AR60ZZX1187FB52E29,,"New York, NY [Queens]",,Capone-N-Noreaga feat. Busta Rhymes and Ron Browz,Channel 10,SOACXUA12AB017C9A4,Rotate,2009
142.73261,0.293,9,0.002,-7.982,1,0.067,134.438,143.257,4,0,TRBAYER128F933D3B7,AR2SMD91187B9B0582,,"Boston, MA",,Mighty Mighty Bosstones,More Noise And Other Disturbances,SOACZGZ12AB01849DB,Guns And The Young,1992
132.15302,7.93,3,0.085,-18.516,1,0.554,132.153,76.57,3,0.727,TRAIMQC128F148B81C,ARCYE581187B9A1482,,,,Timo Maas,Dope Radio,SOADCCE12A6D4FA324,UBIK The Breakz (feat. Martin Bettinghaus) - Radio Mix,0
183.53587,0.403,2,0.355,-7.173,1,0.305,178.422,171.924,4,1,TRBCVBK128E07813EC,ARAXU5Z1187B98FECD,,,,Gorillaz,G-Sides,SOADCFY12A6310E353,Rock The House (Radio Edit),2001
128.96608,0.223,0,0.454,-11.655,0,0.379,115.804,111.01,4,0,TRAVGLC128F931535B,AR6Y8JF1187B9BA1D5,33.92192,"Gurdon, AR",-93.14939,Jimmy Witherspoon,Blue Spoon/Spoon In London,SOADDSQ12AB01807A8,Man Don't Cry,0
238.44526,4.905,4,0.455,-11.258,0,0.441,226.186,88.018,5,0.412,TRACXYU128F425EEE8,AROGAPH1187B98CF9C,,,,Benabar,Les Risques du Métier,SOADDVU12A8AE47512,Le Zoo De Vincennes,2003
179.9571,0.198,7,0.926,-10.968,1,0.842,166.98,100.621,1,0,TRABERS128F4247FE1,ARGC7FQ1187FB409CC,40.71455,New York,-74.00712,Stew,Something Deeper Than These Changes,SOADEBB12A8C1345D9,Tomorrow Gone,2003
284.47302,0,6,0.614,-4.812,0,0.55,273.421,174.282,1,0.196,TRACUUJ128F422EFF8,AR3PN3R1187FB4CEBD,18.01571,"Kingston, Jamaica",-76.79731,Horace Andy,Livin' It Up + Dub: Limited edition,SOADEVO12A8AE4865B,Rastafari Prophecy,0
324.51873,0,9,0.006,-18.208,1,0.39,311.943,91.405,3,0.102,TRAURLY128F4274DBB,ARJRIM91187FB3EF9A,,,,Paul Avgerinos,Words Touch,SOADJAQ12A8C13F520,Song Without End,2004
138.84036,0.2,9,0.495,-3.677,0,0.47,134.031,140.202,4,0.502,TRAPCVT128F428A9D0,AR46CAD1187FB4D84B,34.05349,"Los Angeles, Ca",-118.24532,Bad Religion,Process Of Belief,SOADJND12A8C13BAE1,The Lie,2002
257.2273,0.246,1,0.747,-2.769,1,0.7,242.451,140.994,4,0.381,TRACYMH12903CA01DF,AR3SEQM1187B98E9E8,39.6425,"Hagerstown, MD",-77.71758,Kix,Blow My Fuse,SOADKNO12AB0182BC7,Cold Blood (LP Version),0
130.71628,0.171,7,0.232,-14.945,1,0.544,125.016,137.959,1,0,TRAHXJE12903CB8095,AR4WS1U1187FB5B02E,36.16778,"Nashville, TN",-86.77836,Bobby Russell,Children's Christmas Party,SOADLFU12A8C1393FD,Jingle Bell Rock,0
191.9473,0.171,10,0.348,-12.546,0,0.581,189.533,53.672,3,0.412,TRAHQEJ128F92E3C3B,AR6Y8JF1187B9BA1D5,33.92192,"Gurdon, AR",-93.14939,Jimmy Witherspoon,Blowin' In From Kansas City,SOADNGK12AB017F955,I'm Going Around In Circles,0
37.642,0,1,0.573,-15.329,1,0.611,37.642,172.279,1,0.767,TRAKMHH128F4276D73,AR2XI6G1187B9AE7DA,,"Bronx, NY",,Fat Joe,Endangered Species,SOADTWR12A8C136DB5,Words With Fat Joe,0
193.82812,0,0,0.298,-13.87,1,0.467,188.616,149.988,4,0,TRBGEAZ12903CE8885,ARZVZRN1241B9C4B14,,,,Mister Ries featuring Six Foe,The Old Country,SOADYKT12AC4689269,Booty Bounce,0
267.75465,0.682,9,0,-5.136,0,0.095,250.346,102.008,4,0.506,TRAJCVA128F426C51D,ARFJXTS11F4C83E24E,,,,Defect & Quixotic,Return Of The DJ 5.5 Optimized,SOADZHL12A8C13CE75,WristStraining Order,2008
205.63546,0.206,1,0.589,-8.644,1,0.584,205.635,113.557,4,0.712,TRALDSB12903CB4242,AREY3RN1187B993C5F,29.95369,"New Orleans, LA",-90.07771,Goatwhore,Eclipse of Ages Into Black,SOAEAQO12AB0184ACE,Gravedom,2000
285.12608,0,6,0.351,-7.311,1,0.41,281.617,107.944,4,1,TRAHXKA128F426E903,ARSK4D11187B9BA046,,,,Lisa Lisa & Cult Jam (featuring Full Force),Super Hits,SOAEBQL12A8C134E07,U Never Nu How Good U Had It,1989
253.51791,0.369,11,0.111,-11.213,0,0.248,247.147,119.52,4,0.202,TRBBRYI128F42370F5,ARX8PZU1187B9AA7E2,32.51461,"Shreveport, LA",-93.74727,Mighty Joe Young,Mighty Man,SOAEBUV12A8C1335DB,Wishy Washy Woman,0
184.52853,1.565,3,0.413,-27.737,0,0.29,179.206,94.853,1,0,TRBHSOA12903CCC4B2,AR5GLIU1187FB4638A,,"Memphis, TN",,Memphis Jug Band,Move That Thing Vol 2,SOAECCP12AB0186ADB,Spider's Nest Blues,2005
271.85587,0.078,4,0.243,-4.002,1,0.179,267.685,120.119,4,1,TRACSBL128F42480E8,ARX2DLI1187FB4DD03,,"Sydney, Australia",,The Presets,Apocalypso,SOAECHX12A6D4FC3D9,Yippiyo-Ay,2008
150.46485,0.357,2,0.668,-9.6,1,0.778,147.714,111.555,4,0.899,TRAHBMV12903D0553D,ARRESZG1187B9A3FBF,,,,Les Hou-Lops,Collection de chansons rares des groupes des années 60 Volume 1,SOAECMT12AB0183897,Hold me,0
327.99302,0.165,2,0.5,-7.843,1,0.371,311.124,96.02,5,0.81,TRATYGR128F427D08C,AR040M31187B98CA41,,,,The Bug Featuring Spaceape,London Zoo,SOAEEXM12A8C13D6E3,Fuckaz,2008
414.24934,0.288,6,0.005,-8.164,1,0,401.026,106.821,5,1,TRBBSBF128F14687A4,ARJXZX41187B9B6A43,,"Toronto, Ontario, Canada",,Dream Warriors,The Master Plan,SOAEGFO12A6D4F87AA,Sound Clash (featuring Beenie Man) - FattaSly Extended Mix,1996
128.96608,0.16,1,0.651,-11.863,1,0.579,123.356,102.151,5,0.816,TRBDNGV128F42895AE,AR14CJ91187FB3A994,35.52069,"Madisonville, TN",-84.36354,Eddy Arnold,Ultimate Eddy Arnold,SOAEGKR12A58A79091,What's He Doin' In My World,1967
255.32036,2.316,11,0.741,-4.521,1,0.628,238.782,104.04,4,1,TRAVZWX128F92EC110,ARYBGMF1187FB4D82C,,"Los Angeles, CA",,Berlin,Voyeur,SOAEGMV12A8C1455F2,Blink Of An Eye (Alternative),2002
306.38975,0,7,0,-5.306,1,0.37,302.08,129.962,4,0,TRANHMJ128F9330B50,ARDDWUI1187FB379F7,60.17116,"Helsinki, Finland",24.93258,Amoral,Wound Creations,SOAEHWD12A58A7E36C,Metamorphosis,2001
216.58077,0.154,2,0.449,-7.91,1,0.575,208.138,121.687,4,0.654,TRBBXLI128F931BC58,AR05IU31187B9B9A1A,42.84751,"Vitoria, Spain",-2.67973,Alex Ubago,Calle ilusion,SOAEHZK12AB0182ADF,20 horas de nada,2009
678.76526,0.106,11,0.346,-4.002,0,0.582,661.333,140.112,4,0.976,TRAHFYH128F92CE223,ARJBWQI1187B9B17D1,,"Orlando, FL",,Trivium,Shogun,SOAEJTI12A8C145051,Shogun [with fade_ for special edition],2008
210.70322,0.403,9,0.519,-12.22,0,0.625,207.128,111.379,4,0.984,TRAMBTK128F42390A4,ARYJ6RP1187B9B3827,36.16778,"Nashville, TN",-86.77836,Cindy Morgan,Listen,SOAELDS12A8AE47F30,Need (LP Version),0
228.93669,0.34,2,0.482,-5.376,1,0.497,212.753,177.563,3,0.907,TRAHBOC128F9322A62,ARSF4161187B9B449F,,,,The Gone Jackals,Blue Pyramid,SOAEPLE12AB0186815,That Blows My Mind (Slammin' and Way Out There!),1998
210.23302,0,7,0.723,-6.647,1,0.272,210.233,69.555,7,0.324,TRAQMZB128EF351A09,ART62WC1187FB47E80,,New Mexico,,The Game feat. Jim Jones Camron & Bezell,Westside Story Remix feat. Snoop Dogg & 50 Cent,SOAEQKJ12A58A761EA,Certified Gangstas (featuring Jim Jones Camron & Bezell),0
312.05832,0.16,9,0.692,-13.016,1,0.561,305.267,103.995,4,0,TRBHYIK128F92E210B,ARR3ONV1187B9A2F59,54.31407,UK,-2.23001,Muse,Unintended,SOAERUU12A8C13F302,Falling Down [Live Acoustic],0
394.762,0.364,0,0,-14.245,0,0.137,379.391,167.665,3,0.927,TRAZANO128F429A795,AR7AOEJ1187FB3D279,33.35303,"Inverness, MS",-90.59005,Little Milton,The Very Best Of Little Milton,SOAERZM12A8C13CA55,Little Bluebird,1995
275.19955,0,2,0.039,-16.683,1,0.049,261.155,121.667,5,0.454,TRATIKX128F42697BF,ARSL3N21187B98DFC5,,,,Klaus Badelt,The Time Machine,SOAESFB12A8C13573F,Time Travel,2002
234.44853,0.374,10,0.166,-10.173,0,0.211,222.546,102.055,1,0,TRAAUSW128F426646E,AR3PN3R1187FB4CEBD,18.01571,"Kingston, Jamaica",-76.79731,Horace Andy,Exclusively,SOAESJW12A8C137CC2,Musical Episode,2005
237.66159,0,2,0.755,-4.651,1,0.504,235.096,151.284,4,0.162,TRAJFRJ128F9328FF1,AR4GAFY1187B9B639D,,"Memphis, Tennessee",,B.B. King,Hurricane Relief: Come Together Now,SOAEUQV12AB01813F8,Early In The Morning,2002
232.09751,0.508,2,0.387,-11.922,1,0.436,214.703,127.686,4,0,TRALLAM128F429A3B8,ARK0VFZ1187FB4309B,,"DURHAM, North Carolina",,Shirley Caesar,Rejoice,SOAEWDR12A8C13D286,It's In The Book (Album Version),0
234.39628,0,7,0.138,-6.373,1,0.394,230.557,99.75,1,0,TRAVMZX128F14AB117,AREJXK41187B9A4ACC,46.71067,France,1.71819,Raphaël,Une Nuit Au Châtelet,SOAEXGD12A6D4FB738,Caravane (Live 2006),2007
209.57995,0,1,0.411,-7.83,1,0.498,205.038,110.644,3,0.771,TRANXLY12903CE297D,ARUJSSR1241B9CAF37,,,,MyKungFu,Hesitate,SOAEYFM12AC3DF51A2,Hesitate,0
192.23465,4.156,0,0.712,-13.012,1,0.667,173.935,115.671,4,0.692,TRBHDGB128F4235137,AR22KLC1187B98E812,,,,Kaija Koo,Lauluja rakkaudesta,SOAFAGP12A81C22CC3,Viimeiset hitaat,1995
397.08689,0,6,0.295,-5.456,1,0.378,397.087,87.351,4,1,TRBGOGV128F146D34D,AR2NJG71187FB5203E,,"Bristol, England",,Roni Size,Sound Advice / Forget Me Knots Remixes,SOAFEJH12A6D4F971F,Forget Me Knots (Bailey Remix),0
266.60526,4.795,0,0.397,-14.818,0,0.618,258.67,61.018,1,0.273,TRAEIDZ128F42658BC,ARNITNO1187FB555D3,22.81751,"Artemisa, Cuba",-82.7603,Arturo Sandoval,Trumpet Evolution,SOAFFAD12A8C130310,My Funny Valentine,2003
142.99383,0.397,7,0.057,-16.584,0,0.222,137.642,108.873,4,1,TRASHYS128F427CD96,ARUVPZF1187FB4880D,,Tennessee,,Charlie Louvin,Hoping That You're Hoping,SOAFGEU12A8C13FAD7,Don't Laugh,0
190.92853,0.257,2,0.826,-16.079,1,0.728,183.234,172.348,4,0.115,TRANKMZ128F42A0098,ARSX3I61187B98FAC7,35.03731,"Whitehaven, TN",-90.06146,Frank Stokes,Creator Of The Memphis Blues,SOAFHDJ12A8C13F6FF,Nehi Mamma Blues,1995
215.01342,0,0,0.636,-8.121,0,0.869,215.013,133.812,3,0.657,TRBHLBL12903D0137C,AR9696A1187FB550A1,,,,Nicolas Bacchus,Balades pour enfants louches,SOAFHKH12AC90757B7,Josy,2002
219.89832,0,4,0.447,-3.926,1,0.452,210.686,165.224,3,0.855,TRAHKRO128F9320EA7,ARUHYH21187B98BA89,44.23153,"Kingston, Ontario, Canada",-76.47933,The Tragically Hip,World Container,SOAFHVH12AAF3B11C8,The Drop-Off,2006
184.78975,0.403,0,0.464,-14.727,1,0.513,179.078,95.666,4,0.979,TRALCTB128F429F75C,AR84AQE1187B98AD9C,36.068,"Walnut Ridge, AR",-90.9564,Washboard Sam,Washboard Sam Vol. 3 (1938),SOAFHVT12A8C141A9F,Washboard Swing,0
192.20853,0.357,2,0.523,-23.988,1,0.537,183.229,139.189,3,0.418,TRAALRZ128F429024E,AR89DTT1187B9A7ED5,37.77916,California - SF,-122.42005,Suzanne Ciani,Pianissimo,SOAFIPD12A8C13A261,Mozart,1989
325.66812,0,11,0.496,-12.861,0,0.322,318.375,176.18,4,0,TRALPJJ128F9311763,ARC6J781187B98F02B,,,,Tania Maria,Outrageously Wild,SOAFJWE12AB01837B3,Come With Me,1983
359.65342,0,10,0.427,-6.644,0,0.503,359.653,178.934,4,0.42,TRAIHGS12903CDE8BE,AR32JLC1187B9946AF,,,,X-Raided,X-Filez V.1: 24 Garden Blocc Classics,SOAFKTW12AB018A7A2,Fuckin' Wita Psycho,0
180.00934,0.554,1,1,-13.943,1,0.921,169.599,96.962,4,1,TRATAQC128F4269549,ARY1P2B1187B9B78F5,,,,Mariano Yanani,Babies Go U2,SOAFNMG12A8C136D00,I Still Haven't Found What I'm Looking For,2003
393.76934,3.622,6,0.741,-14.383,1,0.721,371.432,106.865,4,0.938,TRAMJZQ12903CC639D,ARW1BRR1187B996332,,,,The Shamrock Singers,The Best Of Ireland Today - 18 Smash Hits,SOAFQPT12AB018A8BF,You Made Me The Thief Of Your Heart,0
427.07546,0.136,1,0.2,-9.428,1,0.328,415.759,213.718,5,0.129,TRBCEST128F9327FBF,ARYFXQ21187FB4DAEF,27.53092,"Laredo, TX",-99.502,Poncho Sanchez,Latin Spirits,SOAFQZW12A58A77CA5,Ju Ju,2001
130.66404,0,11,0.599,-7.204,0,0.591,118.544,130.49,3,0.64,TRAVPSC128F147BEA8,ARB1CNO1187FB4CE93,,,,45 Grave,Only The Good Die Young,SOAFTRY12A6D4F81C7,Consumers (Album Version),1989
340.11383,0,10,0.394,-12.752,0,0.306,333.201,112.097,4,0.11,TRABICV128F146AEF8,AR7UOUK1187B99078C,,,,Terry Snyder,Ultra-Lounge_ Vol. 17: Bongoland,SOAFUDP12A6D4F7211,Deep Night/Softly As In A Morning Sunrise (Medley),0
121.96526,0,8,0.345,-13.322,0,0.341,116.796,75.669,3,0.665,TRAGPMS128F4248295,AR20BO61187B9B880E,36.83264,"Portsmouth, VA",-76.29771,Patton Oswalt,Feelin' Kinda Patton,SOAFUPM12A6D4FD26F,A Brief History of Shitty Comedy,2004
252.00281,3.564,0,0.605,-7.853,1,0.756,237.32,147.576,4,0.719,TRANPDG128F930F4FE,ARTCO131187B9B9ADB,,,,Bob Carlisle,Stories From The Heart,SOAFZGF12AB01823ED,I Will Shelter You,0
174.57587,0.479,7,0.857,-9.302,1,0.863,163.08,117.044,4,0.967,TRAJZII128F9358893,ARGHV4C1187B995847,41.51776,Connecticut,-72.75753,The Mustangs,Nothing Stays the Same,SOAFZRZ12A58A7AF39,So Many Roads,0
189.88363,0.225,2,0.865,-10.614,1,0.728,180.901,123.29,4,0.91,TRBIECT128F933810B,AR31BYO1187FB5336C,,,,Michael English,The Best of Michael English,SOAFZZF12AB0186C77,Come On Home,0
330.1873,0,0,0.828,-10.454,1,0.724,314.787,176.02,4,0.677,TRAQMKM128F92E4EDD,ARRVIZY1187FB41246,37.27188,"Sacremento, CA",-119.27023,California Oranges,Imperial Hearts,SOAGAFW12AB0181E97,Feel Better,0
72.01914,0,0,0.702,-14.57,1,0.516,72.019,89.898,3,0.779,TRAYEQN128F429AF81,AR3EABF1187B98AD35,59.46148,Russia,108.83178,Sophie Tucker,The Golden Jubilee Album,SOAGASM12A8C13DEBF,In The Good Old Summertime,0
196.23138,0,4,0.212,-9.311,1,0.253,189.417,183.048,4,0,TRBHOXO128F932A739,AR9SU0S1187FB53D0F,37.27188,California,-119.27023,Easy Star All-Stars,Easy Star's Lonely Hearts Dub Band,SOAGBCW12AB0183D8F,With a Little Dub From My Friends (feat. Luciano and U Roy),2009
